# wavelength 	 flux_density
8.500830000000000837e+02 7.577940000000000000e+15
8.503150000000000546e+02 8.196780000000000000e+15
8.505470000000000255e+02 9.005950000000001000e+15
8.507789999999999964e+02 9.386040000000000000e+15
8.510109999999999673e+02 9.697130000000000000e+15
8.512429999999999382e+02 9.711130000000000000e+15
8.514750000000000227e+02 9.427180000000002000e+15
8.517079999999999700e+02 9.109610000000000000e+15
8.519400000000000546e+02 9.185830000000000000e+15
8.521720000000000255e+02 9.449590000000000000e+15
8.524039999999999964e+02 9.595730000000000000e+15
8.526359999999999673e+02 9.527210000000000000e+15
8.528679999999999382e+02 9.391980000000000000e+15
8.531000000000000227e+02 9.395620000000000000e+15
8.533319999999999936e+02 9.452820000000000000e+15
8.535639999999999645e+02 9.420500000000000000e+15
8.537960000000000491e+02 9.076470000000000000e+15
8.540280000000000200e+02 8.289930000000001000e+15
8.542599999999999909e+02 6.789640000000000000e+15
8.544920000000000755e+02 5.837970000000001000e+15
8.547240000000000464e+02 6.840540000000000000e+15
8.549560000000000173e+02 8.256730000000000000e+15
8.551879999999999882e+02 8.846330000000001000e+15
8.554199999999999591e+02 9.247740000000000000e+15
8.556519999999999300e+02 9.332620000000002000e+15
8.558840000000000146e+02 9.245420000000000000e+15
8.561159999999999854e+02 9.329560000000000000e+15
8.563479999999999563e+02 9.434450000000000000e+15
8.565800000000000409e+02 9.480920000000000000e+15
8.568120000000000118e+02 9.562030000000000000e+15
8.570439999999999827e+02 9.530320000000000000e+15
8.572760000000000673e+02 9.516090000000000000e+15
8.575080000000000382e+02 9.450140000000000000e+15
8.577399999999998954e+02 9.434940000000000000e+15
8.579710000000000036e+02 9.534710000000000000e+15
8.582030000000000882e+02 9.550930000000000000e+15
8.584349999999999454e+02 9.375680000000000000e+15
8.586669999999999163e+02 9.347000000000000000e+15
8.588990000000000009e+02 9.483210000000000000e+15
8.591309999999999718e+02 9.529920000000000000e+15
8.593629999999999427e+02 9.436470000000000000e+15
8.595950000000000273e+02 9.439820000000000000e+15
8.598269999999999982e+02 9.374710000000000000e+15
8.600589999999999691e+02 9.323080000000000000e+15
8.602910000000000537e+02 9.434710000000000000e+15
8.605230000000000246e+02 9.477060000000000000e+15
8.607540000000000191e+02 9.407400000000000000e+15
8.609859999999999900e+02 9.396960000000000000e+15
8.612180000000000746e+02 9.198330000000000000e+15
8.614500000000000455e+02 9.133460000000000000e+15
8.616819999999999027e+02 9.224680000000000000e+15
8.619139999999999873e+02 9.397530000000000000e+15
8.621459999999999582e+02 9.478890000000000000e+15
8.623779999999999291e+02 9.357090000000000000e+15
8.626089999999999236e+02 9.389870000000002000e+15
8.628410000000000082e+02 9.513650000000000000e+15
8.630729999999999791e+02 9.479770000000000000e+15
8.633049999999999500e+02 9.402540000000000000e+15
8.635370000000000346e+02 9.340250000000000000e+15
